dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,/home/crc00006699/zh/tabiclv2/data172/ASP-POTASSCO-classification,multiclass,1035,207,259,141,11,0.4555984555984556,0.4431640519265218,0.3793135385113995,,2.330815938243687,0.0,19.021463632583615,ok,
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data172/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.7341011517275914,0.7336077800714836,0.7331072747601187,0.9002534383738073,0.596774753330749,0.0,0.7134432792663574,ok,
BNG(cmc),/home/crc00006699/zh/tabiclv2/data172/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5814647377938518,0.5787390013611884,0.5609910361933714,0.7581923444156686,0.8853790829593832,0.0,18.26006364822388,ok,
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data172/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.879,0.8691611411360093,0.7502633604328519,0.88398568059585,0.3120145074122217,0.0,1.2985389232635498,ok,
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data172/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9210271317829456,0.9210260936497532,0.921025470089282,0.9777056614934644,0.1920086977563035,0.0,3.147256851196289,ok,
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data172/Click_prediction_small,binclass,31958,6392,7990,3,2,0.8322903629536921,0.7570975596323481,0.5025250413068624,0.6243863795150169,0.4398231036492975,0.0,4.513455867767334,ok,
Customer_Personality_Analysis,/home/crc00006699/zh/tabiclv2/data172/Customer_Personality_Analysis,binclass,1792,359,448,24,2,0.8950892857142857,0.8847245479040968,0.7169075880440319,0.90427782348102,0.25438116414959,0.0,0.476315975189209,ok,
E-CommereShippingData,/home/crc00006699/zh/tabiclv2/data172/E-CommereShippingData,binclass,8799,1760,2200,10,2,0.6772727272727272,0.6656003073577083,0.7268834506380133,0.7315969607540929,0.5043744006469667,0.0,1.4580121040344238,ok,
FICO-HELOC-cleaned,/home/crc00006699/zh/tabiclv2/data172/FICO-HELOC-cleaned,binclass,7896,1580,1975,23,2,0.7508860759493671,0.7505758041128374,0.7496343152038589,0.8256905895742854,0.5136343915331901,0.0,2.80519700050354,ok,
FOREX_audcad-hour-High,/home/crc00006699/zh/tabiclv2/data172/FOREX_audcad-hour-High,binclass,35060,7012,8765,10,2,0.7031374786081004,0.7032009470210142,0.7033440796706834,0.7737690930918801,0.5730689185343791,0.0,16.684232473373413,ok,
