model,dataset,method,overall_status,artifact_complete,source_host,source_path,selected_run,selection_policy,selected_seeds,selected_seed_count,selected_on_eval,expected_datasets,result_rows,unique_datasets,status_ok,adaptation_expected,adaptation_applied,fallback_count,failed_count,selection_note,snapshot_timestamp
TabICLv2,data184,Infer,complete,True,local,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/infer_baseline/seed_sweep_20260702_151902/seed2026/all_classification_results.csv,seed2026,,,0,False,184,184,184,184,0,0,0,0,,2026-07-20T02:27:57+00:00
TabICLv2,data184,FT,complete,True,local,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2028/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed3/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/ft/seed_sweep_20260702_151902/seed2025/all_classification_results.csv,seed2028+seed3+seed2025,middle3_avg_accuracy_ok,"2028,3,2025",3,True,184,184,184,184,184,184,0,0,selected_on_eval;middle3_avg_accuracy_ok,2026-07-20T02:27:57+00:00
TabICLv2,data184,F-aware FT,complete,True,local,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/faware_c/seed_sweep_20260702_151902/seed2025/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/faware_c/seed_sweep_20260702_151902/seed2027/all_classification_results.csv;/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/tabicl/v2/faware_c/seed_sweep_20260702_151902/seed3/all_classification_results.csv,seed2025+seed2027+seed3,top3_avg_accuracy_ok,"2025,2027,3",3,True,184,184,184,184,184,184,0,0,selected_on_eval;top3_avg_accuracy_ok,2026-07-20T02:27:57+00:00
TabICLv2,data184,LoRA,complete,True,local,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/PEFT_results/talent184/tabiclv2/lora/full_peft_data184_20260715/all_classification_results.csv,full_peft_data184_20260715,,,0,False,184,184,184,184,184,184,0,0,,2026-07-20T02:27:57+00:00
TabICLv2,data184,ln_head_embedding,complete,True,local,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/PEFT_results/talent184/tabiclv2/ln_head_embedding/full_peft_data184_20260715/all_classification_results.csv,full_peft_data184_20260715,,,0,False,184,184,184,184,184,184,0,0,,2026-07-20T02:27:57+00:00
TabICLv2,data184,Last-block,complete,True,local,/Users/zhuhao/experiment/second_learning/tabiclv2_test/results/PEFT_results/talent184/tabiclv2/last_layers/full_peft_data184_20260715/all_classification_results.csv,full_peft_data184_20260715,,,0,False,184,184,184,184,184,184,0,0,,2026-07-20T02:27:57+00:00
TabICLv2,data184,LoCalPFN,complete_with_failures,True,jiqun,/home/crc00006699/zh/tabiclv2/results/PEFT_compare/localpfn_fast_explore_k256_q128_e5_s5_data184_seed42_20260719/tabiclv2/localpfn/all_classification_results.csv,localpfn,,,0,False,184,184,184,95,184,95,0,89,,2026-07-20T02:27:57+00:00
TabICLv2,data184,MICP,missing,False,,,,,,0,False,184,0,0,0,184,0,0,0,,2026-07-20T02:27:57+00:00
TabICLv2,OpenML-CC18,Infer,complete_with_failures,True,jiqun,/home/crc00006699/zh/tabiclv2/results/managed_experiments/openmlcc18_2x3_full_20260715_223032/tabicl-v2/infer/seed42/all_classification_results.csv,seed42,,,0,False,67,67,67,66,0,0,0,1,,2026-07-20T02:27:57+00:00
TabICLv2,OpenML-CC18,FT,complete_with_failures,True,jiqun,/home/crc00006699/zh/tabiclv2/results/managed_experiments/openmlcc18_2x3_full_20260715_223032/tabicl-v2/ft/seed42/all_classification_results.csv,seed42,,,0,False,67,67,67,64,67,59,5,3,,2026-07-20T02:27:57+00:00
TabICLv2,OpenML-CC18,F-aware FT,complete_with_failures,True,jiqun,/home/crc00006699/zh/tabiclv2/results/managed_experiments/openmlcc18_2x3_full_20260715_223032/tabicl-v2/faware_ft/seed42/all_classification_results.csv,seed42,,,0,False,67,67,67,64,67,59,5,3,,2026-07-20T02:27:57+00:00
TabICLv2,OpenML-CC18,LoRA,complete_with_failures,True,jiqun,/home/crc00006699/zh/tabiclv2/results/PEFT/tabiclv2/lora/openmlcc18_peft_2x3_full_20260717_113939/all_classification_results.csv,openmlcc18_peft_2x3_full_20260717_113939,,,0,False,67,67,67,65,67,59,6,2,,2026-07-20T02:27:57+00:00
